test_id,mu0,mu1,err_U,err_u_x,err_u_y,err_u_mag,err_p,fom_time_s,rom_time_s,speedup,fom_iterations,rom_iterations,fom_converged,rom_converged
1,7.141166769233291,1.1076420376044454,0.12357128631296818,0.15935091460335982,0.15509025020272973,0.13449806146239499,0.12356325160136813,0.4180155830690637,0.000495875021442771,842.9857625270746,3,nan,True,nan
2,2.9832388549535023,1.3687436213973394,0.04421208310298486,0.02308745211195745,0.03570709375459213,0.02223929184358636,0.0442330502922003,0.41317570791579783,0.0004833340644836426,854.8449990943705,3,nan,True,nan
3,2.583153109765273,2.6241890133115473,0.4240944524573318,0.25061683717742406,0.2485004122848378,0.18254989141525738,0.42420666558553916,0.4126214579446241,0.0004822920309379697,855.5427655359574,3,nan,True,nan
4,9.310104982243507,1.5531487955942125,0.04421525532011335,0.1399534640710342,0.16086028480528314,0.12514393081105468,0.04419183957274507,0.4188279169611633,0.0007415419677272439,564.806761031788,3,nan,True,nan
5,8.377791054337019,2.779785386222372,0.04798581713210186,0.13048481728865988,0.11573281884170981,0.11010496502846327,0.04797801194052064,0.42118308297358453,0.0004344999324530363,969.3513197936086,3,nan,True,nan
6,5.616734097065787,1.489929202137593,0.16449841943758398,0.30412686850752807,0.4232373473505136,0.23777929975544113,0.16441065128453142,0.41207183396909386,0.0004784999182447791,861.1743038131438,3,nan,True,nan
7,8.418174364876702,1.427525926750191,0.061054095604993364,0.1111330033555771,0.15475053926126559,0.09291953256669938,0.061037841130215896,0.41126779199112207,0.00046241702511906624,889.3872190048065,3,nan,True,nan
8,7.673203470112387,2.2598804091793614,0.21938348580025577,0.3240008179374778,0.30491731778264775,0.23533248810432,0.21936480358269547,0.4190119580598548,0.00043829111382365227,956.0128983779614,3,nan,True,nan
9,9.346665326726503,1.4638163772128376,0.07550577286700594,0.17394453037242275,0.2839926421638081,0.15760619651796196,0.075474348390773,0.41173904098104686,0.0004353750264272094,945.7112052564773,3,nan,True,nan
10,8.192126157580747,2.0363300737054284,0.08771476379694683,0.23922430195880176,0.21890517844227997,0.17645390052596951,0.08767348674773091,0.40064699994400144,0.000461166026070714,868.7695478299767,3,nan,True,nan
