test_id,mu0,mu1,err_U,err_u_x,err_u_y,err_u_mag,err_p,fom_time_s,rom_time_s,speedup,fom_iterations,rom_iterations,fom_converged,rom_converged
1,7.141166769233291,1.1076420376044454,0.9922071778797525,3.356672672967915,2.787866976944328,2.496825441293814,0.9912940728113762,0.4326770829502493,20.01526458398439,0.021617355150851437,3,nan,True,nan
2,2.9832388549535023,1.3687436213973394,0.9584105095161168,1.8989751766623972,1.9592955124137732,1.5477385084302555,0.9562412335812922,0.41913920792285353,19.29918204108253,0.021717977841269335,3,nan,True,nan
3,2.583153109765273,2.6241890133115473,1.0577138592060646,2.4587609068930543,1.736543760463823,1.6869382812576657,1.056398383751312,0.4156267080688849,18.665751125081442,0.022266808620972196,3,nan,True,nan
4,9.310104982243507,1.5531487955942125,1.0215431600564566,3.0927185614170303,3.5081120028394315,2.852675194707628,1.0210583889614957,0.41058245801832527,18.465194041025825,0.02223548028285521,3,nan,True,nan
5,8.377791054337019,2.779785386222372,1.0048233171178085,6.549355083528818,3.4127286285024363,4.58444372617714,1.0040591585373762,0.42672254203353077,18.197827417054214,0.02344909269958374,3,nan,True,nan
6,5.616734097065787,1.489929202137593,1.0039306204304357,2.3718927798809903,2.527378770088521,2.115859876501296,1.003152805180138,0.4136459999717772,18.13511295907665,0.022809121779676964,3,nan,True,nan
7,8.418174364876702,1.427525926750191,1.0196682274492515,2.750855228695805,3.484241692619615,2.5319990902121883,1.0190207961399633,0.4156225419137627,18.34482245903928,0.02265612233870204,3,nan,True,nan
8,7.673203470112387,2.2598804091793614,0.99922592995511,4.196777744132754,2.7961125322461386,2.7720074003718267,0.9982979760705277,0.42936399998143315,18.687917749979533,0.02297548639317526,3,nan,True,nan
9,9.346665326726503,1.4638163772128376,1.023687938806018,2.875179700939402,3.8273861610460576,2.730983250927178,1.0231419656073724,0.4336164160631597,17.922616666997783,0.02419381188136491,3,nan,True,nan
10,8.192126157580747,2.0363300737054284,1.000049968554355,4.268559659653984,3.7475683541370635,3.1360605427603505,0.9988290371820808,0.4136235830374062,17.785972042009234,0.023255607400059775,3,nan,True,nan
